バージョン,タイトル,ジャンル,アーティスト,プレー回数,BEGINNER 難易度,BEGINNER スコア,BEGINNER PGreat,BEGINNER Great,BEGINNER ミスカウント,BEGINNER クリアタイプ,BEGINNER DJ LEVEL,NORMAL 難易度,NORMAL スコア,NORMAL PGreat,NORMAL Great,NORMAL ミスカウント,NORMAL クリアタイプ,NORMAL DJ LEVEL,HYPER 難易度,HYPER スコア,HYPER PGreat,HYPER Great,HYPER ミスカウント,HYPER クリアタイプ,HYPER DJ LEVEL,ANOTHER 難易度,ANOTHER スコア,ANOTHER PGreat,ANOTHER Great,ANOTHER ミスカウント,ANOTHER クリアタイプ,ANOTHER DJ LEVEL,LEGGENDARIA 難易度,LEGGENDARIA スコア,LEGGENDARIA PGreat,LEGGENDARIA Great,LEGGENDARIA ミスカウント,LEGGENDARIA クリアタイプ,LEGGENDARIA DJ LEVEL,最終プレー日時
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,0,0,0,0,0,---,NO PLAY,---,1,0,0,0,---,HARD CLEAR,---,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-09-17 21:25
1st&substream,GAMBOL,BIG BEAT,SLAKE,0,0,0,0,0,---,NO PLAY,---,2,0,0,0,---,HARD CLEAR,---,2,0,0,0,---,HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-09-17 21:25
1st&substream,GENOM SCREAMS,TRANCE,L.E.D. LIGHT,0,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,EASY CLEAR,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-09-17 21:25
1st&substream,KEEP ON MOVIN',DANCE POP,N.M.R.,2,0,0,0,0,---,NO PLAY,---,2,207,95,17,5,HARD CLEAR,AA,3,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-12-26 17:08
1st&substream,Macho Gang,TRIBAL HOUSE,ANAL SPYDER,0,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,EASY CLEAR,---,11,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-09-17 21:25
1st&substream,RUGGED ASH,FUTURE JAZZ,SYMPHONIC DEFOGGERS,1,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,9,689,265,159,133,FAILED,C,12,0,0,0,---,NO PLAY,---,2025-12-26 17:10
2nd style,I Was The One,ITALO HOUSE,good-cool,0,0,0,0,0,---,NO PLAY,---,2,0,0,0,---,HARD CLEAR,---,2,0,0,0,---,HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-09-17 21:25
2nd style,SP-TRIP MACHINE(for beatmania II),JUNGLE,dj TAKA feat. DE-SIRE,0,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,5,0,0,0,---,FAILED,---,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-09-17 21:25
3rd style,REINCARNATION,TRANCE,dj TAKA,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,FAILED,---,7,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-09-17 21:25
3rd style,Tangerine Stream,AMBIENT,dj TAKA,0,0,0,0,0,---,NO PLAY,---,2,0,0,0,---,HARD CLEAR,---,3,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-09-17 21:25
3rd style,THE SAFARI,WORLD HOUSE,Lion Musashi,0,0,0,0,0,---,NO PLAY,---,8,0,0,0,---,FAILED,---,10,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-09-17 21:25
4th style,Clione,DUTCH TRANCE,kors k,1,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,9,908,325,258,200,FAILED,C,11,0,0,0,---,NO PLAY,---,2025-12-24 15:32
4th style,era (step mix),DRUM'N'BASS,TaQ,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,FAILED,---,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-09-17 21:25
4th style,KAMIKAZE,TECHNO,dj nagureo,1,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,1051,397,257,39,NO PLAY,A,10,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-12-11 19:19
5th style,sometime,SOUND TRACK,Aya,1,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,801,304,193,78,EASY CLEAR,B,8,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-12-26 19:05
5th style,still my words,AMBIENT,TaQ feat. Meg,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,EASY CLEAR,---,7,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-09-17 21:25
5th style,sync,TRANCE,OutPhase (TaQ/dj TAKA),1,0,0,0,0,---,NO PLAY,---,7,1038,381,276,91,FAILED,B,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-12-11 19:11
5th style,V,PROGRESSIVE,TAKA,1,0,0,0,0,---,NO PLAY,---,6,378,165,48,---,FAILED,E,10,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-12-19 14:06
6th style,Frozen Ray (original mix),TRANCE,dj TAKA,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,FAILED,---,9,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-09-17 21:25
6th style,rottel-da-sun,ROTTERDAM TECHNO,sampling masters MEGA,1,0,0,0,0,---,NO PLAY,---,5,695,298,99,12,HARD CLEAR,AA,8,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-12-11 18:28
6th style,route 80s,NOISY,sampling masters MEGA,0,0,0,0,0,---,NO PLAY,---,7,0,0,0,---,FAILED,---,11,0,0,0,---,NO PLAY,---,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-09-17 21:25
7th style,AVE DE RAPINA,ALTERNATIVE HOUSE,Shawn The Horny Master,1,0,0,0,0,---,NO PLAY,---,8,1263,446,371,63,EASY CLEAR,B,10,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-12-26 19:07
7th style,Bad Routine,FILTER HOUSE,D.J. Spugna,1,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,1024,422,180,64,FAILED,A,9,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2026-01-05 22:11
7th style,Burning Heat! (Full Option Mix),12 BEAT,Mr.T with Motoaki.F,1,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,856,332,192,102,FAILED,C,0,0,0,0,---,NO PLAY,---,2025-12-26 16:11
7th style,Happy Wedding,HOUSE,ASKA,0,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,FAILED,---,10,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-09-17 21:25
7th style,Love Me Do,NEW WAVE,AKIRA YAMAOKA,1,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,1128,439,250,85,EASY CLEAR,B,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2026-01-05 22:09
7th style,Spica,HOUSE,D.JW,0,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,FAILED,---,9,0,0,0,---,NO PLAY,---,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-09-17 21:25
8th style,airflow,INSTRUMENTAL,Mr.T,0,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,HARD CLEAR,---,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-09-17 21:25
8th style,Attitude,TRANCE,Y&Co.,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,EASY CLEAR,---,7,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-09-17 21:25
